"tideID","tag","patch","fix_rate"
2020184,958,4,0.494867468325607
2020184,958,5,1.00004166703845
2020187,960,1,0.19697914801599
2020202,960,3,0.0919586033061125
2020202,960,4,1.00005072698963
2020203,960,2,0.0331649714946223
2020209,960,4,0.826128861426219
2020209,960,9,0.406997251817563
2020209,960,12,1.00004545692959
2020209,960,25,0.980437013262564
2020236,960,3,0.124548587689075
2020429,960,1,0.709711760486644
2020429,960,2,0.258633324011922
2020429,960,3,0.69680940877473
2020429,960,4,0.969480294399337
2020429,960,5,0.3192239937884
2020430,960,1,0.876280900709434
2020430,960,2,0.913089794733795
2020430,960,3,0.910158378709906
2020430,960,5,0.266680494483874
2020431,960,1,0.99185205831604
2020431,960,2,0.846191816133903
2020431,960,3,0.914328918821773
2020432,960,1,0.926713688834496
2020432,960,2,0.606967700198566
2020432,960,3,0.994315827861665
2020433,960,2,0.973821577628912
2020433,960,3,0.387344288318425
2020433,960,4,0.277792067547698
2020433,960,5,0.111893654408446
2020433,960,6,0.665056299807207
2020433,960,7,0.704696682525548
2020433,960,8,0.509762603255716
2020433,960,9,0.756794256104424
2020434,960,1,0.93338065067174
2020434,960,3,0.744323816603368
2020434,960,4,0.528244527549398
2020435,960,1,0.993789511467105
2020435,960,2,0.520183217191721
2020435,960,3,0.113641959646879
2020435,960,4,0.0110164737083695
2020435,960,5,0.0135141729895027
2020435,960,6,0.610418677728965
2020435,960,7,0.279942391720895
2020435,960,8,0.245172889876533
2020435,960,9,0.517568073228815
2020435,960,10,0.527199222413688
2020436,960,1,0.959398993273009
2020436,960,3,0.343083223253472
2020436,960,5,0.437521648267405
2020436,960,6,0.151523059258451
2020436,960,7,0.914431753719641
2020436,960,8,0.963687176170543
2020437,960,1,0.939530455710477
2020437,960,2,0.311336908986826
2020437,960,3,0.0649385086455994
2020437,960,4,0.184625089297763
2020437,960,5,0.508501868478592
2020437,960,6,0.0825493060125478
2020437,960,7,0.0578541084692525
2020437,960,8,0.207402205242185
2020437,960,9,0.336247153268792
2020437,960,10,0.447202519327197
2020437,960,11,0.97046269247617
2020437,960,13,0.913311515319728
2020438,960,1,0.987064263437226
2020438,960,5,0.960048001972832
2020438,960,6,0.985050894130232
2020438,960,7,0.937165435006434
2020438,960,8,0.864909668747817
2020438,960,9,0.454569561222985
